N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,Detail URL,CODE
1,삼성전자,"50,100",250,+0.50%,100,"2,990,861","5,969,783",55.23,"15,691,892",15.82,8.69,https://finance.naver.com/item/main.nhn?code=005930,005930
2,SK하이닉스,"83,400",800,+0.97%,"5,000","607,154","728,002",48.60,"3,185,449",30.16,4.25,https://finance.naver.com/item/main.nhn?code=000660,000660
3,삼성바이오로직스,"588,000",0,0.00%,"2,500","389,050","66,165",10.44,"188,425",191.72,4.77,https://finance.naver.com/item/main.nhn?code=207940,207940
4,삼성전자우,"42,400",350,-0.82%,100,"348,904","822,887",88.69,"1,331,639",13.39,N/A,https://finance.naver.com/item/main.nhn?code=005935,005935
5,NAVER,"198,000",500,+0.25%,100,"325,242","164,263",57.90,"433,060",55.96,10.56,https://finance.naver.com/item/main.nhn?code=035420,035420
6,셀트리온,"209,000","3,500",-1.65%,"1,000","281,537","134,707",20.13,"718,095",94.53,11.19,https://finance.naver.com/item/main.nhn?code=068270,068270
7,LG화학,"362,500","9,000",+2.55%,"5,000","255,897","70,592",37.27,"579,674",90.56,1.84,https://finance.naver.com/item/main.nhn?code=051910,051910
8,LG생활건강,"1,371,000","24,000",-1.72%,"5,000","214,125","15,618",43.78,"56,420",31.22,20.32,https://finance.naver.com/item/main.nhn?code=051900,051900
9,현대차,"93,200","1,600",+1.75%,"5,000","199,139","213,668",34.12,"1,441,418",8.66,4.32,https://finance.naver.com/item/main.nhn?code=005380,005380
10,삼성물산,"102,500","2,800",+2.81%,100,"194,432","189,690",14.42,"464,738",18.67,4.77,https://finance.naver.com/item/main.nhn?code=028260,028260
11,삼성SDI,"279,500",500,+0.18%,"5,000","192,197","68,765",42.11,"503,391",55.17,2.94,https://finance.naver.com/item/main.nhn?code=006400,006400
12,SK텔레콤,"213,000",0,0.00%,500,"171,988","80,746",37.18,"230,228",19.33,3.92,https://finance.naver.com/item/main.nhn?code=017670,017670
13,카카오,"185,000","1,000",+0.54%,500,"160,871","86,957",30.51,"665,905",-51.60,-5.81,https://finance.naver.com/item/main.nhn?code=035720,035720
14,현대모비스,"167,500",0,0.00%,"5,000","159,217","95,055",45.84,"351,388",7.02,7.28,https://finance.naver.com/item/main.nhn?code=012330,012330
15,POSCO,"177,500","3,500",+2.01%,"5,000","154,757","87,187",50.57,"418,810",8.43,4.18,https://finance.naver.com/item/main.nhn?code=005490,005490
