N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,Detail URL,CODE
1,셀트리온헬스케어,"84,600",100,-0.12%,"1,000","127,799","151,063",20.56,"1,748,168",196.29,3.94,https://finance.naver.com/item/main.nhn?code=091990,091990
2,에이치엘비,"96,000",400,-0.41%,500,"41,506","43,236",10.02,"359,228",-97.46,-24.69,https://finance.naver.com/item/main.nhn?code=028300,028300
3,CJ ENM,"127,900","3,500",+2.81%,"5,000","28,047","21,929",18.13,"226,342",26.90,3.65,https://finance.naver.com/item/main.nhn?code=035760,035760
4,셀트리온제약,"70,600",800,-1.12%,500,"25,272","35,796",3.53,"372,361",294.17,3.13,https://finance.naver.com/item/main.nhn?code=068760,068760
5,펄어비스,"192,300","6,700",-3.37%,500,"25,153","13,080",18.80,"80,177",15.87,31.62,https://finance.naver.com/item/main.nhn?code=263750,263750
6,씨젠,"92,900",100,+0.11%,500,"24,371","26,234",12.58,"1,698,402",91.35,19.01,https://finance.naver.com/item/main.nhn?code=096530,096530
7,케이엠더블유,"61,000",300,-0.49%,500,"24,291","39,821",9.89,"594,590",23.00,67.76,https://finance.naver.com/item/main.nhn?code=032500,032500
8,스튜디오드래곤,"76,800",200,-0.26%,500,"21,578","28,096",8.80,"224,037",81.62,6.37,https://finance.naver.com/item/main.nhn?code=253450,253450
9,SK머티리얼즈,"157,500","1,100",-0.69%,500,"16,613","10,548",13.83,"52,271",12.96,30.22,https://finance.naver.com/item/main.nhn?code=036490,036490
10,휴젤,"384,100","4,900",-1.26%,500,"16,592","4,320",54.69,"14,334",40.36,6.25,https://finance.naver.com/item/main.nhn?code=145020,145020
11,제넥신,"65,500","2,600",-3.82%,500,"15,579","23,784",6.95,"598,292",-91.23,-5.35,https://finance.naver.com/item/main.nhn?code=095700,095700
12,에코프로비엠,"73,000",0,0.00%,500,"15,304","20,964",3.47,"202,896",41.83,12.99,https://finance.naver.com/item/main.nhn?code=247540,247540
13,파라다이스,"15,750",200,-1.25%,500,"14,323","90,943",8.02,"857,497",94.88,1.19,https://finance.naver.com/item/main.nhn?code=034230,034230
14,헬릭스미스,"66,600",700,+1.06%,500,"14,262","21,415",11.69,"186,318",-16.12,-64.98,https://finance.naver.com/item/main.nhn?code=084990,084990
15,컴투스,"107,000",500,+0.47%,500,"13,767","12,866",33.62,"52,550",12.31,12.68,https://finance.naver.com/item/main.nhn?code=078340,078340
16,원익IPS,"27,850",550,+2.01%,500,"13,670","49,084",27.15,"456,724",31.47,9.16,https://finance.naver.com/item/main.nhn?code=240810,240810
17,리노공업,"89,300","2,300",-2.51%,500,"13,611","15,242",39.33,"81,349",25.79,18.75,https://finance.naver.com/item/main.nhn?code=058470,058470
18,메지온,"155,700",100,+0.06%,500,"13,555","8,706",18.24,"42,818",-58.08,-46.43,https://finance.naver.com/item/main.nhn?code=140410,140410
19,아이티엠반도체,"59,300","1,000",+1.72%,500,"13,541","22,835",2.92,"579,749",N/A,22.69,https://finance.naver.com/item/main.nhn?code=084850,084850
20,알테오젠,"94,200","1,700",+1.84%,500,"13,184","13,996",9.29,"194,599","-1,847.06",-1.03,https://finance.naver.com/item/main.nhn?code=196170,196170
21,솔브레인,"73,000",900,+1.25%,500,"12,701","17,398",25.87,"390,748",10.84,15.06,https://finance.naver.com/item/main.nhn?code=036830,036830
22,코미팜,"19,600",750,-3.69%,100,"12,580","64,186",3.94,"911,582",-58.68,-25.64,https://finance.naver.com/item/main.nhn?code=041960,041960
23,에스에프에이,"34,950",400,+1.16%,500,"12,550","35,909",21.40,"176,015",9.51,15.90,https://finance.naver.com/item/main.nhn?code=056190,056190
24,고영,"81,100","1,400",-1.70%,500,"11,136","13,731",61.48,"54,763",37.56,12.59,https://finance.naver.com/item/main.nhn?code=098460,098460
25,NICE평가정보,"17,550",400,-2.23%,500,"10,655","60,715",32.35,"188,849",26.12,19.30,https://finance.naver.com/item/main.nhn?code=030190,030190
26,SKC코오롱PI,"32,800",150,+0.46%,500,"9,632","29,366",8.80,"188,596",54.39,6.95,https://finance.naver.com/item/main.nhn?code=178920,178920
27,RFHIC,"38,550",100,-0.26%,500,"9,193","23,848",5.79,"340,286",44.98,11.22,https://finance.naver.com/item/main.nhn?code=218410,218410
28,신라젠,"12,600",250,-1.95%,500,"9,024","71,617",2.77,"1,782,228",-7.88,-100.14,https://finance.naver.com/item/main.nhn?code=215600,215600
29,차바이오텍,"17,050",50,+0.29%,500,"8,948","52,481",6.92,"248,441",19.29,13.17,https://finance.naver.com/item/main.nhn?code=085660,085660
30,에이치엘비생명과학,"19,000",100,-0.52%,500,"8,943","47,070",5.69,"367,828",-111.11,-2.75,https://finance.naver.com/item/main.nhn?code=067630,067630
31,이오테크닉스,"72,500","1,400",+1.97%,500,"8,932","12,320",10.22,"284,349",73.75,3.17,https://finance.naver.com/item/main.nhn?code=039030,039030
32,NHN한국사이버결제,"38,650","1,250",+3.34%,500,"8,878","22,971",20.59,"892,053",36.16,20.20,https://finance.naver.com/item/main.nhn?code=060250,060250
33,젬백스,"22,250",300,+1.37%,500,"8,736","39,261",5.58,"511,197",-8.72,-88.24,https://finance.naver.com/item/main.nhn?code=082270,082270
34,SFA반도체,"5,290",40,+0.76%,500,"8,700","164,460",5.36,"5,274,814",36.48,7.34,https://finance.naver.com/item/main.nhn?code=036540,036540
35,콜마비앤에이치,"28,800",400,+1.41%,500,"8,509","29,544",4.75,"145,753",15.62,23.84,https://finance.naver.com/item/main.nhn?code=200130,200130
36,아난티,"10,000",0,0.00%,100,"8,464","84,645",4.46,"4,563,752",-117.65,-2.02,https://finance.naver.com/item/main.nhn?code=025980,025980
37,에이비엘바이오,"18,200",650,-3.45%,500,"8,417","46,246",5.12,"732,310",-22.25,-25.61,https://finance.naver.com/item/main.nhn?code=298380,298380
38,티씨케이,"72,000","1,400",+1.98%,500,"8,406","11,675",59.79,"52,354",17.95,23.15,https://finance.naver.com/item/main.nhn?code=064760,064760
39,동국제약,"94,300","3,900",-3.97%,"2,500","8,385","8,892",29.92,"24,500",15.15,16.66,https://finance.naver.com/item/main.nhn?code=086450,086450
40,GS홈쇼핑,"127,700","1,800",-1.39%,"5,000","8,380","6,562",25.03,"22,776",7.65,9.81,https://finance.naver.com/item/main.nhn?code=028150,028150
41,동진쎄미켐,"15,700","1,050",+7.17%,500,"8,072","51,414",6.76,"4,122,927",13.80,17.78,https://finance.naver.com/item/main.nhn?code=005290,005290
42,톱텍,"20,450","1,150",+5.96%,500,"7,776","38,023",6.22,"2,448,575",206.57,1.09,https://finance.naver.com/item/main.nhn?code=108230,108230
43,서울반도체,"13,200",100,+0.76%,500,"7,696","58,305",10.77,"635,461",22.30,5.27,https://finance.naver.com/item/main.nhn?code=046890,046890
44,국일제지,"6,020",30,+0.50%,100,"7,606","126,348",3.74,"3,622,198",N/A,N/A,https://finance.naver.com/item/main.nhn?code=078130,078130
45,덕산네오룩스,"31,300","2,000",+6.83%,200,"7,515","24,010",17.45,"972,371",39.22,12.73,https://finance.naver.com/item/main.nhn?code=213420,213420
46,JYP Ent.,"20,750",50,-0.24%,500,"7,365","35,495",15.24,"400,549",23.50,21.91,https://finance.naver.com/item/main.nhn?code=035900,035900
47,메드팩토,"72,100",600,+0.84%,500,"7,324","10,157",1.41,"597,552",N/A,-32.46,https://finance.naver.com/item/main.nhn?code=235980,235980
48,클래시스,"11,200",400,-3.45%,100,"7,247","64,709",1.53,"684,655",20.97,48.06,https://finance.naver.com/item/main.nhn?code=214150,214150
